,Features,Importance
745,oscar,0.102252856
93,awesome,0.100197926
1016,teenagers,0.05761259
743,original plot,0.0371173
367,exciting,0.03643854
611,long,0.034910135
132,big budget,0.024182927
165,british comedy,0.023926817
536,imdb top 250,0.018567631
1096,war,0.015823292
129,better than expected,0.015787663
1068,vampire human love,0.013308864
917,short-term memory loss,0.012620505
574,jane austen,0.0105956625
777,pg-13,0.00978943
789,plot twist,0.009150999
971,story,0.00898595
533,idiotic,0.008628473
792,pointless,0.008611357
458,gory,0.008581379
1093,visuals,0.008076328
950,special,0.007682604
446,good acting,0.007411186
112,based on a video game,0.0067053875
763,overrated,0.0066090925
981,stylish,0.0064879972
454,good versus evil,0.006412928
355,entertaining,0.0056999363
685,music business,0.0056844037
471,great soundtrack,0.0051716994
802,post apocalyptic,0.004938084
816,product placement,0.0047652
1063,unrealistic,0.004733646
880,saturn award (best science fiction film),0.0044770315
484,hackers,0.0043269936
1091,visually appealing,0.0043075755
0,averageRating,0.0043042568
193,cgi,0.0042125247
806,powerful ending,0.004180659
48,alone in the world,0.0039010607
1032,too long,0.0038335938
621,made for tv,0.003755402
968,stoner movie,0.0036759004
310,disney animated feature,0.0036500276
609,lone hero,0.0036329934
1110,wine,0.0034278894
64,animation,0.0033417298
337,dystopic future,0.003296038
901,sequel,0.0032130159
259,costume drama,0.0032121346
409,free to download,0.0031605025
307,disappointing,0.0031514314
575,japan,0.0030031386
837,rags to riches,0.002786004
731,nudity (topless - notable),0.0027696863
188,catastrophe,0.0026202395
263,courtroom drama,0.0025842073
937,solitude,0.0025824269
787,plot,0.002569795
282,cynical,0.0025536902
126,best of 2005,0.0025429314
1107,western,0.0025080005
465,great acting,0.0025076848
427,geek,0.0024312974
725,nudity,0.0023665726
156,boring!,0.0023643353
356,entirely dialogue,0.0023591425
240,complex,0.002338895
110,based on a true story,0.0022928976
748,oscar (best animated feature),0.002284599
429,genetics,0.0022482006
89,author:alan moore,0.0022256598
435,ghosts,0.0022208446
219,claymation,0.0022000598
586,kick-butt women,0.0021774743
137,biting,0.0021728927
466,great cinematography,0.002135429
497,heartwarming,0.0021268034
444,golf,0.002107997
759,oscar (best supporting actress),0.0020540725
315,documentary,0.0019773222
918,silent,0.0019730623
834,racing,0.0019516816
350,england,0.0019373291
16,aardman studios,0.0019183169
379,farce,0.0018919199
972,storytelling,0.001870421
523,horses,0.0018530195
830,quotable,0.0018490151
332,dumb,0.0018225042
372,fairy tales,0.0017741626
589,kids and family,0.0017391287
95,awful,0.0016840491
744,orphans,0.0016811112
857,robbery,0.0016752746
246,computers,0.0016261488
2,007 (series),0.0015722302
403,foul language,0.0015190977
394,finnish,0.0015149474
754,oscar (best music - original score),0.0015091761
913,shallow,0.0014897097
233,comic book adaption,0.0014757606
163,brilliant,0.0014423167
1124,writing,0.0014166534
147,boarding school,0.0014161702
562,ireland,0.0014136127
844,redemption,0.0013855137
948,spanish,0.0013662947
402,foreign,0.0013562747
232,comic book,0.0013214712
720,notable nudity,0.001284289
753,oscar (best foreign language film),0.0012835368
244,computer animation,0.0012710454
935,soccer,0.001268191
218,claustrophobic,0.0012651946
207,chris tucker,0.0012582192
1089,visceral,0.0012524044
1038,train,0.001225421
221,clones,0.0012214963
941,southern theme,0.0011913646
374,family,0.0011727774
788,plot holes,0.0011557075
272,crude humor,0.001129762
230,comedy,0.0011067755
381,fashion,0.0010959909
476,gross-out,0.0010700593
810,prequel,0.0010694459
