Actor,ActorID,Year,Film,Votes,Rating,FilmID
Aaron Douglas,nm0234928,2020,Operation Christmas Drop,9284,5.8,tt13236566
Aaron Eckhart,nm0001173,2020,Wander,3157,4.9,tt9689696
Aaron Jeffery,nm0420279,2020,The FloodMoon Rock for Monday,334,12.5,tt11609692tt6685476
Aaron Moorhead,nm1823264,2020,I Blame Society,168,4.5,tt11469196
Aaron Paul,nm0666739,2020,Adam,446,6.4,tt1715344
Aaron Pedersen,nm0669853,2020,High Ground,1026,6.4,tt9286908
Aaron Schwartz,nm0777125,2020,AdverseThe Bone Box,3171,7.699999999999999,tt8597594tt4626020
Aaron Stanford,nm0822155,2020,Horse GirlDisturbing the Peace,16751,9.100000000000001,tt11388406tt5717194
Aaron Taylor-Johnson,nm1093951,2020,Tenet,323041,7.5,tt6723592
Abby Brammell,nm1354503,2020,JL Family Ranch 2,239,5.8,tt10302982
Abby Quinn,nm5362984,2020,I'm Thinking of Ending ThingsShithouse,67630,13.6,tt7939766tt11618536
Abigail Cowen,nm6792464,2020,I Still Believe,8868,6.5,tt9779516
Abraham Benrubi,nm0072344,2020,The Call of the Wild,40272,6.8,tt7504726
Abril Zamora,nm2837721,2020,The Life Ahead,10059,6.8,tt10627584
Adam Beach,nm0063440,2020,The New MutantsMonkey Beach,48209,11.899999999999999,tt4682266tt8967870
Adam Brody,nm0111013,2020,Promising Young WomanThe Kid Detective,69049,14.5,tt9620292tt8980602
Adam Copeland,nm0178581,2020,Money Plane,1683,3.2,tt7286966
Adam Devine,nm2796745,2020,Have a Good TripMagic Camp,9746,13.1,tt12133722tt3979300
Adam Pally,nm1269723,2020,Sonic the HedgehogThe Main Event,96571,11.3,tt3794354tt10540242
Adam Sandler,nm0001191,2020,Hubie Halloween,39958,5.2,tt10682266
Adam Scott,nm0004395,2020,Have a Good Trip,6356,6.8,tt12133722
Adam Wingard,nm1417392,2020,She Dies Tomorrow,4650,5.1,tt11614912
Adam Wylie,nm0943766,2020,The Big Ugly,1556,4.9,tt9441638
Adan Canto,nm3841486,2020,2 Hearts,562,5.7,tt5616176
Adeel Akhtar,nm2253821,2020,Enola HolmesThe Nest,139096,13.0,tt7846844tt8338762
Adelaide Kane,nm2560043,2020,The Swing of Things,1127,2.9,tt6833470
Adele Exarchopoulos,nm2650819,2020,Ballsy GirlMandibles,1197,11.5,tt9372172tt10375106
Adhir Kalyan,nm2290876,2020,Chemical HeartsA Nice Girl Like You,11653,11.5,tt5843876tt3278540
Aditi Rao Hydari,nm2390814,2020,VPsychoSufiyum Sujatayum,8776,18.4,tt11385128tt9109976tt10976066
Adrian Bouchet,nm1345685,2020,Cupid,697,3.6,tt10817348
Adrian Grenier,nm0004978,2020,Stage Mother,1486,6.5,tt8364138
Adrian Pasdar,nm0664499,2020,A Fall from Grace,12590,5.9,tt11390036
Adrian Scarborough,nm0769083,2020,Artemis Fowl,23711,4.2,tt3089630
Adrienne Barbeau,nm0000105,2020,For the Love of JesseeThe Eagle and the Albatross,313,10.3,tt7411120tt7326168
Afton Williamson,nm4182855,2020,Finding Her,658,5.5,tt4789618
Aimee Carrero,nm2948025,2020,HolidateWander Darkly,48068,11.899999999999999,tt9866072tt8902978
Aimee Lou Wood,nm10228854,2020,Uncle Vanya,157,8.1,tt13299678
Aimee Teegarden,nm1631435,2020,Guest House,1515,4.4,tt10054316
Aimee-Ffion Edwards,nm2929682,2020,Blithe Spirit,2792,5.4,tt10334148
Aisha Tyler,nm0878768,2020,FriendsgivingBad Therapy,2109,8.7,tt8431078tt8488518
Aisling Bea,nm3201406,2020,Love Wedding Repeat,17923,5.5,tt5096470
Aiysha Hart,nm4408716,2020,Mogul Mowgli,1256,6.7,tt9892094
Aja Naomi King,nm3813115,2020,Sylvie's LoveThe 24th,5014,12.6,tt9827834tt10452854
Akira Akbar,nm7739127,2020,We Can Be Heroes,10953,4.7,tt10600398
Akshay Kumar,nm0474774,2020,Laxmii,46994,2.3,tt10350922
Al Sapienza,nm0002326,2020,CaponeMoney Plane5th Borough,18839,14.5,tt6199572tt7286966tt8241876
Al Weaver,nm1632403,2020,The Complex: Lockdown,159,3.8,tt12550060
Alain Moussi,nm3857692,2020,Jiu Jitsu,5320,2.9,tt9624766
Alan Arkin,nm0000273,2020,Spenser Confidential,72796,6.2,tt8629748
Alan Ritchson,nm2024927,2020,Ghosts of War,7001,5.5,tt6508228
Alan Ruck,nm0001688,2020,Freaky,28092,6.3,tt10919380
Alan S. Kim,nm10910136,2020,Minari,25297,7.6,tt10633456
Alan Van Sprang,nm0888022,2020,Tainted,280,4.9,tt3952864
Alba Baptista,nm4926180,2020,Fatima,1936,6.6,tt2197936
Albano Jeronimo,nm1512998,2020,Moral Order,132,6.8,tt7490358
Aldis Hodge,nm0388038,2020,The Invisible ManOne Night in Miami...Magic Camp,200036,20.6,tt1051906tt10612922tt3979300
Alec Baldwin,nm0000285,2020,Chick FightPixie,3950,10.399999999999999,tt10944486tt10831086
Aleks Paunovic,nm0006820,2020,The Sinners,319,4.3,tt7171054
Alessandra Mastronardi,nm1616937,2020,Si muore solo da vivi,161,5.2,tt10268922
Alex Essoe,nm3012273,2020,Death of Me,4103,4.4,tt1830643
Alex Ferns,nm0273159,2020,Knuckledust,161,5.0,tt9109072
Alex Macqueen,nm1276507,2020,Downhill,9896,4.9,tt4558376
Alex Pettyfer,nm1641117,2020,Echo Boomers,1669,5.4,tt4353270
Alex Sharp,nm5189784,2020,The Trial of the Chicago 7,123084,7.8,tt1070874
