,tconst_x,titleType,primaryTitle,startYear,genre_1,genre_2,genre_3,tconst_y,averageRating,numVotes,wr
61107,tt0062336,movie,The Tango of the Widower and Its Distorting Mirror,2020,Drama,,,tt0084612,5.7,49.0,7.0
122045,tt0125366,movie,Lifepod,2020,Sci-Fi,Thriller,,tt0178935,4.2,77.0,6.86
220818,tt0230622,movie,Parinati,2020,Drama,,,tt0387230,9.0,17.0,7.1
233827,tt0244158,movie,Radha Krishna,2020,Drama,,,tt0416467,8.0,16.0,7.08
280901,tt0293513,movie,"Pit Bull: A Tale of Lust, Murder and Revenge",2020,,,,tt0525320,6.9,40.0,7.06
352640,tt0368133,movie,The Promise of Perfume,2020,Documentary,,,tt0681338,8.4,238.0,7.32
420962,tt0438755,movie,About Face: The Story of the Jewish Refugee Soldiers of World War II,2020,Documentary,,,tt0860355,5.2,8.0,7.05
428768,tt0446792,movie,Surviving in L.A.,2020,Comedy,Drama,Romance,tt0884900,7.4,31.0,7.08
780068,tt0805647,movie,The Witches,2020,Adventure,Comedy,Family,tt16376342,7.0,9.0,7.07
890814,tt0920462,movie,Lost Girls and Love Hotels,2020,Drama,Thriller,,tt21138098,7.6,12.0,7.07
952244,tt0983946,movie,Fantasy Island,2020,Fantasy,Horror,Mystery,tt23746128,7.0,14.0,7.07
969116,tt10003008,movie,The Rental,2020,Drama,Horror,Mystery,tt2490046,7.4,54.0,7.08
969441,tt10003614,movie,The Metamorphosis of Ismaila Ba,2020,Drama,Horror,,tt2494248,5.6,19.0,7.04
969648,tt10003994,movie,Seeds,2020,Horror,,,tt2496262,6.6,10.0,7.06
969711,tt10004108,movie,Sacrifice,2020,Horror,Mystery,Thriller,tt24969874,7.2,19.0,7.07
969857,tt10004368,movie,I Never Cry,2020,Comedy,Drama,,tt2498424,7.7,9.0,7.07
970817,tt10006160,movie,Kala azar,2020,Drama,Fantasy,,tt2507884,7.8,22.0,7.08
973628,tt10011228,movie,Hunted,2020,Action,Horror,Thriller,tt2538316,4.8,11.0,7.04
973636,tt10011240,movie,Cinematti - Una storia folle,2020,Documentary,,,tt25383320,7.9,10.0,7.07
974074,tt10012002,movie,Killer Babes and the Frightening Film Fiasco,2020,Horror,,,tt25398216,6.5,11.0,7.06
976161,tt10015802,movie,The Big 3,2020,Comedy,Documentary,,tt2559926,1.1,79.0,6.63
976596,tt10016640,movie,Knots: A Forced Marriage Story,2020,Documentary,,,tt2565156,7.2,5.0,7.07
978027,tt10019108,movie,Villa Caprice,2020,Drama,,,tt2580458,8.0,23.0,7.09
979435,tt10021582,movie,A Deadly Legend,2020,Horror,,,tt2594972,6.3,62.0,7.02
980085,tt10022726,movie,Sweet Face,2020,Drama,Romance,,tt26010188,7.3,8.0,7.07
980237,tt10022990,movie,Seeru,2020,Action,Drama,,tt2602820,7.6,11.0,7.07
980257,tt10023024,movie,Love Aaj Kal,2020,Drama,Romance,,tt2603144,6.5,119.0,7.01
980326,tt10023150,movie,My Cousin,2020,Comedy,,,tt2604346,5.6,1334.0,6.23
980339,tt10023172,movie,Simple Passion,2020,Drama,Romance,,tt26044724,7.6,8.0,7.07
980396,tt10023274,movie,Okavango: River of Dreams - Director's Cut,2020,Documentary,,,tt2605374,7.1,11.0,7.07
982913,tt10027720,movie,Ringolevio,2020,Comedy,Drama,Romance,tt26253838,3.4,7.0,7.04
983399,tt10028620,movie,List(e)n,2020,Documentary,,,tt26295352,7.0,76.0,7.06
984216,tt10030150,movie,Faces of Fear,2020,Horror,,,tt26346233,5.7,673.0,6.52
985439,tt10032266,movie,Asia,2020,Drama,,,tt26425607,10.0,6.0,7.08
989434,tt10039354,movie,JerryMaya's Detective Agency: The Secret of the Train Robber,2020,Adventure,Comedy,Crime,tt2663556,8.1,16.0,7.08
989534,tt10039524,movie,Luxor,2020,Drama,Romance,,tt2664374,8.0,15.0,7.08
989601,tt10039642,movie,In the Cold Dark Night,2020,Documentary,,,tt2664946,7.0,26.0,7.06
990916,tt10041978,movie,Gonarezhou: The Movie,2020,Drama,,,tt26693409,5.7,40.0,7.01
991216,tt10042590,movie,El verano que vivimos,2020,Drama,Romance,,tt2670390,5.6,6.0,7.06
991233,tt10042622,movie,They Who Surround Us,2020,Drama,,,tt2670524,6.1,375.0,6.8
991643,tt10043458,movie,The Whisper of Silence,2020,Drama,,,tt26736354,5.6,55.0,6.99
991822,tt10043770,movie,Growing Up Milwaukee,2020,Documentary,,,tt2674050,3.4,39.0,6.93
991972,tt10044040,movie,Revenge for Daddy,2020,Thriller,,,tt2674426,7.4,289062.0,7.4
992047,tt10044182,movie,Block Z,2020,Action,Horror,Thriller,tt26745417,6.3,2241.0,6.54
994866,tt10049262,movie,James & Pat & Dave,2020,Comedy,Romance,,tt2693526,6.6,44.0,7.05
995858,tt10051088,movie,Operation Curveball,2020,Comedy,Crime,History,tt27011917,3.2,10.0,7.03
997697,tt10054316,movie,Guest House,2020,Comedy,,,tt2711270,7.5,17.0,7.07
