,year,gross,genre
0,1994,28.34,Drama
1,1972,134.97,Crime
2,2008,534.86,Action
3,1993,96.9,Biography
4,1957,4.36,Crime
5,1974,57.3,Crime
6,2003,377.85,Action
7,1994,107.93,Crime
8,2023,,Animation
9,2010,292.58,Action
10,2001,315.54,Action
11,1999,37.03,Drama
12,1994,330.25,Drama
13,1966,6.1,Adventure
14,2002,342.55,Action
15,2021,,Crime
16,2022,,Adventure
17,2014,188.02,Adventure
18,1990,46.84,Biography
19,1999,171.48,Action
20,1975,112.0,Drama
21,1980,290.48,Action
22,2022,,Biography
23,2020,,Action
24,2023,,Biography
25,1991,130.74,Crime
26,1995,100.13,Crime
27,1998,216.54,Drama
28,1991,204.84,Action
29,1999,136.8,Crime
30,1977,322.74,Action
31,2002,7.56,Crime
32,2001,10.06,Animation
33,1997,57.6,Comedy
34,1946,,Drama
35,1954,0.27,Action
36,1962,,Action
37,2022,,Action
38,2006,53.09,Drama
39,1985,210.61,Adventure
40,2006,132.38,Crime
41,1979,78.9,Horror
42,2019,53.37,Drama
43,2000,187.71,Action
44,2014,13.09,Drama
45,1994,19.5,Action
46,2002,32.57,Biography
47,1995,23.34,Crime
48,1994,422.78,Animation
49,1998,6.72,Crime
50,1960,32.0,Horror
51,1988,,Animation
52,2011,13.18,Biography
53,1942,1.02,Drama
54,1968,5.32,Western
55,1954,36.76,Mystery
56,1988,11.99,Drama
57,1936,0.16,Comedy
58,1931,0.02,Comedy
59,2018,,Drama
60,2018,190.24,Animation
61,2012,448.14,Action
62,2000,25.54,Mystery
63,2019,335.45,Crime
64,2019,858.37,Action
65,2012,162.81,Drama
66,1981,248.16,Action
67,2003,0.71,Action
68,1980,44.02,Drama
69,1986,85.16,Action
70,1979,83.47,Drama
71,2018,678.82,Action
72,1984,51.97,Biography
73,1985,,Drama
74,2016,5.02,Animation
75,2017,209.73,Animation
76,1964,0.28,Comedy
77,2008,223.81,Animation
78,2006,11.29,Drama
79,2009,6.53,Comedy
80,2018,1.66,Drama
81,1981,11.49,Drama
82,1950,,Drama
83,1957,,Drama
84,1957,8.18,Crime
85,1940,0.29,Comedy
86,1963,,Crime
87,2021,,Biography
88,2019,,Action
89,2019,,Action
90,2021,,Crime
91,2022,718.73,Action
92,2009,120.54,Adventure
93,1995,67.44,Action
94,1999,130.1,Drama
95,1997,138.43,Drama
96,2000,3.64,Drama
97,1983,45.6,Crime
98,1968,56.95,Adventure
99,1984,5.32,Crime
100,1995,75.6,Biography
101,1971,6.21,Crime
102,2004,34.4,Drama
103,1992,2.83,Crime
104,1987,46.36,Drama
105,2012,0.69,Drama
106,1997,2.38,Animation
107,2010,6.86,Drama
108,1952,8.82,Comedy
